File Name, Peak Frequency (Hz), Frequency Error, Thermal Diffusivity (m2/s), Thermal Error,,,,
Analysis/Fe-single-crystal-0dpa-06.40um-10degreesSpot01-POS-1.txt,4.53E+08,2.57E+03,2.40E-05,2.03E-07,,2.43E-05,9.31E-08,
Analysis/Fe-single-crystal-0dpa-06.40um-10degreesSpot02-POS-1.txt,4.53E+08,2.77E+03,2.40E-05,2.13E-07,,2.63E-05,1.02E-07,
Analysis/Fe-single-crystal-0dpa-06.40um-10degreesSpot03-POS-1.txt,4.53E+08,2.03E+03,2.52E-05,2.06E-07,,2.68E-05,1.13E-07,
Analysis/Fe-single-crystal-0dpa-06.40um-10degreesSpot04-POS-1.txt,4.54E+08,2.49E+03,2.48E-05,2.07E-07,,2.68E-05,1.13E-07,
Analysis/Fe-single-crystal-0dpa-06.40um-10degreesSpot05-POS-1.txt,4.55E+08,2.47E+03,2.34E-05,2.12E-07,,,,
Average,,,2.43E-05,9.31E-08,1,2.43E-01,9.31E-04,
Analysis/Fe-single-crystal-0dpa-06.40um-10degreesSpot01-POS-1.txt,4.53E+08,2.57E+03,2.59E-05,2.29E-07,2,2.63E-01,1.02E-03,
Analysis/Fe-single-crystal-0dpa-06.40um-10degreesSpot02-POS-1.txt,4.53E+08,2.77E+03,2.58E-05,2.31E-07,3,2.68E-01,1.13E-03,
Analysis/Fe-single-crystal-0dpa-06.40um-10degreesSpot03-POS-1.txt,4.53E+08,2.03E+03,2.75E-05,2.24E-07,4,2.68E-01,1.13E-03,
Analysis/Fe-single-crystal-0dpa-06.40um-10degreesSpot04-POS-1.txt,4.54E+08,2.49E+03,2.68E-05,2.23E-07,,,,
Analysis/Fe-single-crystal-0dpa-06.40um-10degreesSpot05-POS-1.txt,4.55E+08,2.47E+03,2.54E-05,2.37E-07,,,,
,,,2.63E-05,1.02E-07,,,,
Analysis/Fe-single-crystal-0dpa-06.40um-10degreesSpot01-POS-1.txt,4.53E+08,2.57E+03,2.59E-05,2.55E-07,,,,
Analysis/Fe-single-crystal-0dpa-06.40um-10degreesSpot02-POS-1.txt,4.53E+08,2.77E+03,2.65E-05,2.55E-07,,,,
Analysis/Fe-single-crystal-0dpa-06.40um-10degreesSpot03-POS-1.txt,4.53E+08,2.03E+03,2.85E-05,2.47E-07,,,,
Analysis/Fe-single-crystal-0dpa-06.40um-10degreesSpot04-POS-1.txt,4.54E+08,2.49E+03,2.75E-05,2.46E-07,,,,
Analysis/Fe-single-crystal-0dpa-06.40um-10degreesSpot05-POS-1.txt,4.55E+08,2.47E+03,2.57E-05,2.65E-07,,,,
,,,2.68E-05,1.13E-07,,,,
Analysis/Fe-single-crystal-0dpa-06.40um-10degreesSpot01-POS-1.txt,4.53E+08,2.57E+03,2.59E-05,2.55E-07,,,,
Analysis/Fe-single-crystal-0dpa-06.40um-10degreesSpot02-POS-1.txt,4.53E+08,2.77E+03,2.65E-05,2.55E-07,,,,
Analysis/Fe-single-crystal-0dpa-06.40um-10degreesSpot03-POS-1.txt,4.53E+08,2.03E+03,2.85E-05,2.47E-07,,,,
Analysis/Fe-single-crystal-0dpa-06.40um-10degreesSpot04-POS-1.txt,4.54E+08,2.49E+03,2.75E-05,2.46E-07,,,,
Analysis/Fe-single-crystal-0dpa-06.40um-10degreesSpot05-POS-1.txt,4.55E+08,2.47E+03,2.57E-05,2.65E-07,,,,
,,,2.68E-05,1.13E-07,,,,
